ID LABEL
901255134839230464 NotSC
901219137569116161 EmotionReaction
901237154407473154 NotSC
900862745704374272 PhysicalActions
901173877866459136 Apathy
900591748417761280 NotSC
901102357676740608 Apathy
901428686452404226 NotSC
901592014248185857 NotSC
901200812583653376 EmotionReaction
901239942373920772 NotSC
901155242015961089 EmotionReaction
901046785526910976 NotSC
901135574743908353 NotSC
900710461796216832 NotSC
900835805635260417 PhysicalActions
901263941984288769 NotSC
900797076719763457 NotSC
900539790952738816 Apathy
901190472529567744 PhysicalActions
901147164461719552 Apathy
901419408370880512 NotSC
901230340542517255 ChangeOfPlans
901039379162050561 EmotionReaction
901289049264189440 NotSC
900802316235878400 NotSC
901251514517393409 NotSC
901532675063861249 NotSC
900737399524913152 NotSC
901076391877324800 OfficialDirectives
901420019728429056 ChangeOfPlans
900792079474978816 NotSC
901182999689138177 NotSC
901303017370243073 NotSC
900106490358489089 NotSC
901301903530745856 NotSC
900849603309957120 NotSC
901477439519551488 NotSC
901094092599328773 PhysicalActions
900810892694233091 Other
901513451583016960 NotSC
901174102223982597 EmotionReaction
901129905886253056 NotSC
901290924260696065 NotSC
901225011062730752 NotSC
901279546913193988 NotSC
901139231984300032 PhysicalActions
901460719853600769 NotSC
901259664859348992 PhysicalActions
900141944818544640 NotSC
900789213498626048 NotSC
901296632905568258 EmotionReaction
900827358202146816 EmotionReaction
901287934430773248 NotSC
900822504436113408 NotSC
900939846037905408 NotSC
900864756541571072 PhysicalActions
900880461467136006 NotSC
900452500804907010 NotSC
901099875932221440 Suggestions
900796565186641922 NotSC
901250540096688130 NotSC
900494444977430529 NotSC
901436361533796353 NotSC
901211624081633281 NotSC
900767913719812097 NotSC
901269902060904448 Apathy
901447649412485120 NotSC
901194089311416324 NotSC
901207413583339520 FactSharing
901424731622178816 NotSC
900943690469826560 NotSC
901151329078435840 FactSharing
901147999409246210 OfficialDirectives
901297334235131904 Apathy
900733658537046019 EmotionReaction
900821258459336704 NotSC
900881745582718980 NotSC
901153705327808513 EmotionReaction
900777053259255808 EmotionReaction
901325655362633729 NotSC
900035481890689024 NotSC
901390348886388736 NotSC
901263999823519744 NotSC
900861155165581317 NotSC
901199986083463168 EmotionReaction
901165961440612352 ChangeOfPlans
901503066553278464 NotSC
900195684413997056 NotSC
900346431378214913 NotSC
901562105085788160 NotSC
